n_served,n_censored,mean_wait_min,median_wait_min,max_wait_min,jain_fairness,starvation_count,mean_bay_utilization,seed,k
317,1,59.226248061664904,39.393321665052554,390.7590045430579,0.4359749191131289,176,0.8204542457148873,1,0.012328467394420659
319,0,60.48336783935706,36.024201711202295,356.6693118782873,0.4503079810183537,188,0.8477797654653974,2,0.012328467394420659
306,2,44.751895670044036,29.28759044788285,373.2198973591362,0.38724038356907936,151,0.7878699832834,3,0.012328467394420659
314,6,78.94240174584367,43.331307868942986,457.12860418743367,0.41804735090134787,174,0.8325475436748057,4,0.012328467394420659
313,0,52.767405706791465,33.02952711117587,336.02347512747565,0.4050838944936206,164,0.8425228429729449,5,0.012328467394420659
312,7,46.078409030392635,28.168524088039703,366.2676836947726,0.39595250738023624,151,0.8608284096390486,6,0.012328467394420659
273,0,31.09860184108112,12.385428434496134,211.64873630921056,0.38387472531011085,106,0.7513801768121695,7,0.012328467394420659
318,2,42.142119170921475,23.791753956708817,390.19157797390267,0.37096281686677846,132,0.8343220225155732,8,0.012328467394420659
327,5,49.48371929309551,32.9843714874205,422.0455158848865,0.44014829717544285,167,0.8585041432544677,9,0.012328467394420659
315,4,49.75189089829824,29.422440356317566,437.72387097717547,0.36271065748397013,153,0.8350861517176262,10,0.012328467394420659
317,1,29.394051098031987,18.26136170913287,212.18751952694402,0.3859198141475196,105,0.8105091455648838,11,0.012328467394420659
305,13,44.627018615555166,25.30978691233213,495.9422704330218,0.3158879993020426,140,0.8347674724660005,12,0.012328467394420659
313,5,38.68284431333446,20.876377109339046,295.6770006469319,0.3629346911507041,131,0.8160031872695739,13,0.012328467394420659
289,1,40.726145288834516,21.675892744815428,492.80944051493134,0.33848347449023547,121,0.7962917634848666,14,0.012328467394420659
334,2,56.81674956205845,36.33617364199404,309.08568354947784,0.47412852273705797,184,0.8726189852945482,0,0.02310129700083159
318,0,61.607809063190174,37.437277607266196,639.0696491593399,0.40225018154579784,173,0.8183582560535494,1,0.02310129700083159
319,0,58.32257194903194,44.95279527520324,298.5131419149425,0.4996943298414948,189,0.8540528184698043,2,0.02310129700083159
306,2,42.14190202558596,25.224632166536367,288.764079748742,0.3882335025472742,135,0.791307806186794,3,0.02310129700083159
312,8,83.16044757949057,51.724829488810656,578.1565878555175,0.45676790529827016,189,0.8386806318289441,4,0.02310129700083159
313,0,50.88010770889491,30.432450693656392,437.7272351251522,0.3808325935281848,157,0.8387930219144424,5,0.02310129700083159
310,9,44.78935761284791,27.315229561076876,360.71881931211374,0.3855875313297635,143,0.8668604751502758,6,0.02310129700083159
272,1,31.659871635238876,17.089965431793644,224.41715055395457,0.37194592585720854,102,0.7443503544025253,7,0.02310129700083159
317,3,42.6065056790254,23.581819520431054,306.9699541424816,0.3952648456512664,144,0.8363840681477537,8,0.02310129700083159
327,5,56.117851497626916,38.12526365221947,382.6876487478104,0.45914160912815033,173,0.8656694591778102,9,0.02310129700083159
315,4,53.98800427257148,32.017546274169945,375.06708067303407,0.4048000404836347,163,0.8383013327464789,10,0.02310129700083159
317,1,29.639967294011832,20.27792351132257,224.80813857101248,0.4350556223020003,120,0.8052773292978066,11,0.02310129700083159
305,13,49.20360666834571,21.941837737820606,465.8792577720237,0.32197738164148254,134,0.8432218061757913,12,0.02310129700083159
311,7,45.641776369817855,27.76443674646862,308.3573092639799,0.4223917976931195,153,0.8243247503459419,13,0.02310129700083159
289,1,42.541811493439575,22.804438661829863,476.34676605614413,0.3354566928396782,122,0.8105304850573529,14,0.02310129700083159
335,1,54.97093928233367,36.33905151825229,290.2744647663051,0.46168978465368526,187,0.8739389517747937,0,0.04328761281083057
317,1,60.49590150683451,41.281521978381534,336.4684944519249,0.47482397320344905,184,0.823464410492346,1,0.04328761281083057
319,0,61.84012616482854,43.15250635576058,412.88351944683336,0.48849338951087595,203,0.8626758038814126,2,0.04328761281083057
306,2,43.25677198858006,22.348695719633497,282.4512204616326,0.3845410139563078,133,0.7921346353870585,3,0.04328761281083057
310,10,84.1749053668689,54.172897251058885,429.76798581122785,0.46423262124661574,190,0.8321966289420584,4,0.04328761281083057
313,0,51.419289252792844,33.69687605857416,314.27779850092884,0.4228150111398582,165,0.8491299137205461,5,0.04328761281083057
310,9,41.78326498012974,25.013662865090282,467.2809423116523,0.34475626329139364,133,0.8495236149646428,6,0.04328761281083057
270,3,33.253883521323786,17.426551825095885,251.82218434780225,0.36725353697462765,97,0.7472612250851738,7,0.04328761281083057
317,3,43.921928963574935,25.680465933660344,432.50029132717145,0.3761226694073643,142,0.8505678476393125,8,0.04328761281083057
325,7,56.497440310151205,38.78543537532403,447.38381291608675,0.4229419318124452,180,0.8708502758146472,9,0.04328761281083057
314,5,58.8468558439698,38.03392170969346,455.3758504628504,0.4108384414405659,176,0.8449147755471543,10,0.04328761281083057
317,1,29.59890222839992,19.19554469750892,197.03167959400434,0.4286297269047494,116,0.8151187393342492,11,0.04328761281083057
304,14,48.325220043928745,26.83604841872966,409.2954450642619,0.35123670243279315,144,0.836268392924074,12,0.04328761281083057
312,6,40.18476219626432,22.530456935732673,352.6378624742738,0.3527589823334161,133,0.8202870055956126,13,0.04328761281083057
289,1,46.25894403250821,26.123780122484277,347.26642361497034,0.39541286100462175,136,0.8241345995919103,14,0.04328761281083057
333,3,57.029160763695224,37.834455369949865,309.1533227025466,0.49525943652400894,191,0.8759013464665861,0,0.08111308307896868
318,0,60.02319303786825,44.90791746892569,323.66099131999636,0.48473427729711144,181,0.8171731703788551,1,0.08111308307896868
319,0,68.78328184560493,50.59679230123629,369.92766282732646,0.5113038822667818,202,0.8554065124540406,2,0.08111308307896868
306,2,42.79386608315845,24.050874246625085,332.03526469913595,0.35797756591441965,128,0.8067110663777675,3,0.08111308307896868
312,8,88.2638702863669,62.289724453465396,499.86242711726663,0.4745407897457851,206,0.8476738293568714,4,0.08111308307896868
313,0,56.413938489676724,37.973691013085045,371.8086434835841,0.42233810044263526,175,0.8468619186418284,5,0.08111308307896868
311,8,44.16162262553427,25.6105331540939,468.61637618808254,0.39459575965974736,143,0.86038458442821,6,0.08111308307896868
273,0,32.136058342650415,16.596704645334285,231.99510777831438,0.36462575861892466,104,0.7531078434450074,7,0.08111308307896868
318,2,45.459703709833086,26.246206817575512,406.087288745299,0.4007075891061141,151,0.8562069603088609,8,0.08111308307896868
326,6,57.93494320329335,41.4606956147486,381.2013477673572,0.4670654051822247,194,0.874550891998733,9,0.08111308307896868
313,6,58.36521760170839,34.632018819403015,360.7933855766196,0.4279968261210506,169,0.8488081378280178,10,0.08111308307896868
317,1,30.190390325222996,19.102005152831225,169.6856865476841,0.43989871296782207,113,0.8251559387698746,11,0.08111308307896868
304,14,48.44810418993003,24.62042419455429,376.7384809899231,0.36090139108517455,142,0.8456985563455012,12,0.08111308307896868
310,8,45.13500658851611,23.44364376768999,322.63850506328845,0.3769558889651736,140,0.8325401907972556,13,0.08111308307896868
289,1,46.128695526671244,24.39953267362216,332.3774193255763,0.3713003843603419,133,0.8175581653235909,14,0.08111308307896868
333,3,66.233966684725,46.88201618299945,374.91253113195944,0.4909953272868754,205,0.8830911039179354,0,0.1519911082952933
318,0,62.361950995736635,41.10784917757064,388.2023273261043,0.4363095681417365,183,0.8208805158757798,1,0.1519911082952933
319,0,75.9852012489089,56.105410818980545,562.9556653016984,0.4827533952816547,221,0.8602778114612893,2,0.1519911082952933
306,2,40.98878370418079,20.468955915061997,302.2228347657551,0.369686497508497,125,0.8089542656632567,3,0.1519911082952933
310,10,95.78778399108076,58.40603574035822,567.2946455956182,0.4574990308280155,208,0.8408736542440841,4,0.1519911082952933
313,0,51.642194879287445,25.734580804636153,278.97939229045005,0.40821925084347904,144,0.8497755690602798,5,0.1519911082952933
308,11,48.01992001068242,30.68606270957889,325.76591563193597,0.40676338560346603,155,0.8778358487275353,6,0.1519911082952933
272,1,31.13212217665378,15.27420167678929,236.91679522137747,0.35897036826207007,97,0.7567482578805985,7,0.1519911082952933
317,3,45.99162734930498,25.864450940850475,449.57217189309404,0.3897377088138345,143,0.8713271308401709,8,0.1519911082952933
328,4,55.28438673517572,33.84934440709333,320.13856154043515,0.4500017100649185,171,0.8805684978587486,9,0.1519911082952933
314,5,58.914553259356424,36.42923389623991,435.1080586616372,0.4198320267152145,172,0.8457873212215742,10,0.1519911082952933
317,1,31.366105485107873,16.407771126482658,204.4509716024611,0.3852413934465719,105,0.8289421719449274,11,0.1519911082952933
305,13,47.7239571035823,24.744871231792786,402.66180678695673,0.3772306020825282,141,0.8546247376956888,12,0.1519911082952933
313,5,42.579920886697394,25.253295043374237,328.6668505437401,0.3951305401129782,144,0.8401926979333691,13,0.1519911082952933
290,0,44.624578637849254,22.910745040634538,422.4631619663405,0.3490221531160514,123,0.828106943133396,14,0.1519911082952933
332,4,68.64765720446186,45.99398530107533,360.5500109251252,0.488802355272464,211,0.8841405476418189,0,0.2848035868435799
316,2,71.81816146836346,54.45626968781221,325.9041890381677,0.49887798859889754,194,0.8270099521494784,1,0.2848035868435799
319,0,73.55709662427115,61.5556580423156,352.28463220201047,0.5681165156461159,221,0.867910801917083,2,0.2848035868435799
306,2,46.028640022747624,27.33426243906706,331.47817875069904,0.3800902104789105,132,0.8187859738516541,3,0.2848035868435799
311,9,89.54837973057944,58.58166497618913,457.40918178623815,0.4587059792438688,193,0.8475382992443745,4,0.2848035868435799
313,0,55.3549166841709,30.657563139303647,374.952768759068,0.40812222078024996,159,0.858973574876511,5,0.2848035868435799
307,12,53.95074597963836,32.197981556406376,417.3086699202686,0.4127678822180647,162,0.8683449968510855,6,0.2848035868435799
273,0,31.979200266016456,20.44056209574501,183.34191902489533,0.4054546712128136,112,0.7702918685706869,7,0.2848035868435799
317,3,47.75261857135041,25.732477138730246,329.06265209523247,0.3994439428525714,148,0.8670772242176524,8,0.2848035868435799
326,6,55.7226613967831,41.923792323927955,306.71143950223814,0.4867297334593107,181,0.869539034213755,9,0.2848035868435799
312,7,59.82450052159087,35.18970988222145,440.20076302928055,0.39289652873558506,170,0.8559786317330682,10,0.2848035868435799
317,1,28.739145057849843,14.841294741305092,210.9550735317598,0.3843242478718119,110,0.8241896011625307,11,0.2848035868435799
303,15,49.86882771979704,23.22946425594182,398.4875676792253,0.35466440607365574,134,0.8512587180765927,12,0.2848035868435799
312,6,41.491179122987965,22.47300771502546,316.3341603058707,0.3886721895693315,137,0.8399565934282038,13,0.2848035868435799
290,0,42.17910738207379,22.91360225999881,476.01423642077725,0.35496220161698744,124,0.819539691480141,14,0.2848035868435799
333,3,65.80728137780073,53.007086705538995,424.5979924698513,0.5109321736281711,203,0.8837501637573945,0,0.5336699231206307
316,2,67.30527578872679,46.16621399928181,406.3165439819777,0.47914047152174827,187,0.8273487116342851,1,0.5336699231206307
319,0,69.00160676678006,55.406175983312096,413.8638159100001,0.5191279439798016,207,0.864831883898743,2,0.5336699231206307
306,2,42.96040527346265,23.982677367441056,368.35457641996163,0.36981360466346214,135,0.8164629360649951,3,0.5336699231206307
312,8,88.77360651013169,61.28077945275186,439.60053190172766,0.4745525587952229,200,0.8498309630678037,4,0.5336699231206307
313,0,56.39626030688146,34.64860350268009,313.1632952223872,0.45118728875818365,171,0.8711927029207619,5,0.5336699231206307
