n_served,n_censored,mean_wait_min,median_wait_min,max_wait_min,jain_fairness,starvation_count,mean_bay_utilization,seed,arrival_rate,load_factor,strategy
115,0,4.360459544277185,0.0,70.10007016309874,0.11397516880624176,6,0.3041663860293623,4,1.0,0.3480552103241169,SRPT
109,0,3.5813032782862178,0.0,65.70405850120187,0.09732375401908043,6,0.28431514333970503,5,1.0,0.3480552103241169,SRPT
115,0,3.4873434468182554,0.0,38.52352607247576,0.12323555021436239,6,0.3132177664142718,6,1.0,0.3480552103241169,SRPT
86,1,1.688877245627964,0.0,37.26939988602817,0.06595718053208512,1,0.22374849638763225,7,1.0,0.3480552103241169,SRPT
109,0,3.608646712340546,0.0,65.43624752183541,0.11276062110587895,3,0.25674569324829033,8,1.0,0.3480552103241169,SRPT
115,0,4.976487431031944,0.0,84.40201005733343,0.13589765244027466,8,0.310522432186527,9,1.0,0.3480552103241169,SRPT
113,0,2.671442580938178,0.0,45.62065608238754,0.09859097847480558,2,0.29849057560020553,10,1.0,0.3480552103241169,SRPT
108,0,2.3412178034631013,0.0,59.776015518037184,0.07565262312579286,2,0.2785949661515233,11,1.0,0.3480552103241169,SRPT
124,0,7.049996333313014,0.0,102.80384930533455,0.12380720853162976,11,0.3177779277885558,12,1.0,0.3480552103241169,SRPT
114,0,5.549766168554934,0.0,59.229376786284774,0.14504799476036115,11,0.29153425920933607,13,1.0,0.3480552103241169,SRPT
105,0,7.7965131126918354,0.0,180.06266809543104,0.08753066566978339,9,0.3026478880951243,14,1.0,0.3480552103241169,SRPT
104,0,2.0382929593262746,0.0,54.72214112713482,0.061508544395864784,2,0.2648190514460613,0,1.0,0.3480552103241169,SOC-Aware+Aging
97,0,2.8223177377575417,0.0,51.7902113060336,0.09473417454927549,3,0.23986914941544787,1,1.0,0.3480552103241169,SOC-Aware+Aging
104,0,3.701340242043826,0.0,47.977370871184576,0.12029262621510597,4,0.28226288937398314,2,1.0,0.3480552103241169,SOC-Aware+Aging
113,0,4.107982034023165,0.0,61.39691988601044,0.11265495217442287,5,0.2890455263844372,3,1.0,0.3480552103241169,SOC-Aware+Aging
115,0,4.360459544277185,0.0,70.10007016309874,0.11397516880624176,6,0.3117739084130941,4,1.0,0.3480552103241169,SOC-Aware+Aging
109,0,3.1334949101489484,0.0,38.23161533137568,0.10810429154839438,5,0.28769516674542134,5,1.0,0.3480552103241169,SOC-Aware+Aging
115,0,3.211702178923479,0.0,38.52352607247576,0.11792271751137286,5,0.31621632695406954,6,1.0,0.3480552103241169,SOC-Aware+Aging
86,1,1.7775962015400901,0.0,37.26939988602817,0.05953016667971998,3,0.22374849638763225,7,1.0,0.3480552103241169,SOC-Aware+Aging
109,0,3.8273754570960494,0.0,48.36570699907088,0.1329515597083231,4,0.26159773566394967,8,1.0,0.3480552103241169,SOC-Aware+Aging
115,0,4.976487431031944,0.0,67.26516009193165,0.1521425568768161,9,0.310522432186527,9,1.0,0.3480552103241169,SOC-Aware+Aging
113,0,2.697198615190981,0.0,56.32228784734707,0.09279541555715944,2,0.3033902221560175,10,1.0,0.3480552103241169,SOC-Aware+Aging
108,0,2.3412178034631013,0.0,59.776015518037184,0.07724650560730952,2,0.28432003227936303,11,1.0,0.3480552103241169,SOC-Aware+Aging
124,0,6.633683492039789,0.0,90.10031455938224,0.12692450228812238,11,0.3244727886821531,12,1.0,0.3480552103241169,SOC-Aware+Aging
114,0,4.452901561322707,0.0,59.229376786284774,0.15017567586622843,5,0.30238317946529397,13,1.0,0.3480552103241169,SOC-Aware+Aging
105,0,8.133076843721925,0.0,122.12007599227218,0.12752671787302108,11,0.30777799017577845,14,1.0,0.3480552103241169,SOC-Aware+Aging
160,0,2.539692059359358,0.0,41.17859182232587,0.0939953023188692,4,0.5036763476191618,0,1.5,0.5220828154861754,FCFS
148,0,6.062885674990182,0.0,81.19806663410145,0.14248434349878347,9,0.47500707952778415,1,1.5,0.5220828154861754,FCFS
164,0,3.6064710710818804,0.0,63.19585348138298,0.11728698982598801,5,0.5529294443281281,2,1.5,0.5220828154861754,FCFS
164,0,10.52379133097071,0.0,92.02256216841033,0.1869673613744097,24,0.5369051832827696,3,1.5,0.5220828154861754,FCFS
162,0,2.1845251132260604,0.0,50.912291666016245,0.07775030770222381,3,0.5205470918460998,4,1.5,0.5220828154861754,FCFS
160,0,5.275797832501944,0.0,99.80103927215168,0.11227288119675014,9,0.5450097620538864,5,1.5,0.5220828154861754,FCFS
156,0,5.186435520578985,0.0,91.38935820218296,0.09726999118105314,11,0.5154544564602668,6,1.5,0.5220828154861754,FCFS
130,0,3.52376199340152,0.0,52.75566368391719,0.1157062374142412,5,0.4157104994311136,7,1.5,0.5220828154861754,FCFS
170,0,5.303794648597344,0.0,64.7514945440821,0.12861751475513436,13,0.5117286073921923,8,1.5,0.5220828154861754,FCFS
173,0,6.941067152215751,0.0,88.67451730391485,0.1654807516476494,18,0.5804084882517359,9,1.5,0.5220828154861754,FCFS
155,0,7.263175554791151,0.0,95.26271897972629,0.1616280667456871,15,0.5021127848226475,10,1.5,0.5220828154861754,FCFS
164,0,5.028176146319708,0.0,76.0045533617922,0.10696677276084411,9,0.5279146373165566,11,1.5,0.5220828154861754,FCFS
165,0,10.181089135574773,0.0,124.05818571249529,0.18004064430401379,24,0.5523424864401932,12,1.5,0.5220828154861754,FCFS
169,0,5.931924546866038,0.0,54.290205631331446,0.16274297577750133,18,0.5690402556067375,13,1.5,0.5220828154861754,FCFS
143,0,5.906222309267188,0.0,83.1417561873559,0.13072148570258618,10,0.48621842616368505,14,1.5,0.5220828154861754,FCFS
160,0,6.399974647617425,0.0,54.05548098522331,0.20217379153441867,12,0.39470668104793105,0,1.5,0.5220828154861754,SRPT
148,0,7.590731901634822,0.0,77.51798530996712,0.19926857090669606,16,0.37709043497390965,1,1.5,0.5220828154861754,SRPT
164,0,5.875241842869321,0.0,82.41679454147834,0.16826365786702138,12,0.4446621099669738,2,1.5,0.5220828154861754,SRPT
163,1,9.011745900962293,0.0,96.49023855288124,0.19164977590592586,21,0.42095503164865533,3,1.5,0.5220828154861754,SRPT
162,0,5.379661594026868,0.0,73.40571198523617,0.1519426241403756,10,0.4253147538616761,4,1.5,0.5220828154861754,SRPT
160,0,5.637716299092428,0.0,77.57261048023793,0.1323174881732866,12,0.4301804310402935,5,1.5,0.5220828154861754,SRPT
156,0,5.909772794682666,0.0,73.73864598967657,0.18548320703848492,11,0.4154792174998864,6,1.5,0.5220828154861754,SRPT
130,0,5.709616747881574,0.0,62.084226364084316,0.18947158111880613,8,0.35783343727781114,7,1.5,0.5220828154861754,SRPT
169,1,8.166286592497194,0.0,73.5245349036918,0.21360681127291956,22,0.41148255426778707,8,1.5,0.5220828154861754,SRPT
173,0,7.664908308348419,0.0,95.50436165778729,0.1997834980389914,18,0.448556881446069,9,1.5,0.5220828154861754,SRPT
155,0,8.619304316217473,0.0,89.12429839269271,0.20914288653291677,20,0.3951318619581776,10,1.5,0.5220828154861754,SRPT
164,0,6.659122836620094,0.0,89.13322497264471,0.1542492828782512,14,0.42510042335116244,11,1.5,0.5220828154861754,SRPT
